date,description,amount,type,category
1 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
1 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
1 Jan 2025,Irish National Lottery,20.0,expense,Uncategorized
1 Jan 2025,Transfer from Revolut user,65.0,income,Transfer
1 Jan 2025,To pocket EUR Theo saves from EUR,110.0,income,Savings
2 Jan 2025,Transfer from RAFAELA DAVILA RODRIGUES,65.0,income,Transfer
2 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,2.8,income,Savings
2 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
2 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
2 Jan 2025,Transfer from RAFAELA DAVILA RODRIGUES,40.0,income,Transfer
2 Jan 2025,Transfer from JESSE' MORELATTO BENATO,50.0,income,Transfer
2 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
2 Jan 2025,To pocket EUR Theo saves from EUR,80.0,income,Savings
2 Jan 2025,To pocket EUR Theo saves from EUR,3.0,income,Savings
2 Jan 2025,Transfer from DANIEL PIROLLI,50.0,income,Transfer
3 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
3 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
3 Jan 2025,To pocket EUR Theo saves from EUR,25.0,income,Savings
3 Jan 2025,Circle K Gas Station,20.0,expense,Uncategorized
3 Jan 2025,Polonez,29.72,expense,Uncategorized
4 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
4 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
5 Jan 2025,Transfer from MARCELLY PEDRA REZENDE DA SILVA,45.0,income,Transfer
5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
5 Jan 2025,To pocket EUR Theo saves from EUR,5.0,income,Savings
5 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,1.3,income,Savings
5 Jan 2025,Pocket Withdrawal,4.89,expense,Savings
5 Jan 2025,Pocket Withdrawal,4.81,expense,Savings
